Date,Region,Local_Authority,Total_Parcels,Children_Parcels,Adult_Parcels,Referral_Source,Deprivation_Decile
2021-11-01,North East,Newcastle,1014,396,618,Self Referral,4
2021-11-01,North East,Sunderland,955,298,657,Citizens Advice,4
2021-11-01,North East,Middlesbrough,620,251,369,Health Services,4
2021-11-01,North East,Durham,849,262,587,Other Agency,3
2021-11-01,North West,Manchester,525,229,296,Health Services,1
2021-11-01,North West,Liverpool,550,183,367,Social Services,1
2021-11-01,North West,Preston,879,375,504,Jobcentre Plus,1
2021-11-01,North West,Blackpool,916,391,525,Social Services,4
2021-11-01,Yorkshire,Leeds,892,290,602,Health Services,3
2021-11-01,Yorkshire,Sheffield,601,258,343,Self Referral,4
2021-11-01,Yorkshire,Bradford,902,372,530,School/College,4
2021-11-01,Yorkshire,Hull,404,131,273,Jobcentre Plus,4
2021-11-01,West Midlands,Birmingham,920,317,603,Jobcentre Plus,2
2021-11-01,West Midlands,Coventry,879,376,503,Citizens Advice,2
2021-11-01,West Midlands,Wolverhampton,827,287,540,Housing Services,3
2021-11-01,West Midlands,Stoke,534,184,350,Jobcentre Plus,3
2021-11-01,East Midlands,Nottingham,651,229,422,Health Services,3
2021-11-01,East Midlands,Leicester,223,73,150,Other Agency,5
2021-11-01,East Midlands,Derby,351,139,212,Health Services,6
2021-11-01,East Midlands,Lincoln,302,130,172,Social Services,6
2021-11-01,East,Norwich,381,125,256,,5
2021-11-01,East,Peterborough,528,172,356,,7
2021-11-01,East,Ipswich,444,151,293,School/College,8
2021-11-01,East,Cambridge,232,92,140,Social Services,8
2021-11-01,London,Tower Hamlets,863,340,523,Social Services,3
2021-11-01,London,Newham,467,179,288,Jobcentre Plus,6
2021-11-01,London,Hackney,253,88,165,Jobcentre Plus,6
2021-11-01,London,Lambeth,864,374,490,School/College,4
2021-11-01,South East,Brighton,543,170,373,Jobcentre Plus,5
2021-11-01,South East,Portsmouth,414,125,289,Self Referral,8
2021-11-01,South East,Reading,341,116,225,Housing Services,8
2021-11-01,South East,Southampton,342,143,199,,5
2021-11-01,South West,Bristol,735,241,494,Jobcentre Plus,5
2021-11-01,South West,Plymouth,481,212,269,Health Services,6
2021-11-01,South West,Exeter,243,99,144,Jobcentre Plus,6
2021-11-01,South West,Gloucester,394,153,241,Self Referral,7
2021-11-01,Wales,Cardiff,420,127,293,Jobcentre Plus,4
2021-11-01,Wales,Swansea,258,82,176,Housing Services,3
2021-11-01,Wales,Newport,535,202,333,Jobcentre Plus,5
2021-11-01,Wales,Wrexham,854,344,510,Social Services,2
2021-11-01,Scotland,Glasgow,694,210,484,School/College,4
2021-11-01,Scotland,Edinburgh,795,347,448,Citizens Advice,4
2021-11-01,Scotland,Aberdeen,599,225,374,Health Services,5
2021-11-01,Scotland,Dundee,725,325,400,Jobcentre Plus,4
2021-12-01,North East,Newcastle,749,309,440,School/College,2
2021-12-01,North East,Sunderland,1384,446,938,Self Referral,2
2021-12-01,North East,Middlesbrough,510,165,345,Other Agency,2
2021-12-01,North East,Durham,676,206,470,School/College,1
2021-12-01,North West,Manchester,689,244,445,Jobcentre Plus,2
2021-12-01,North West,Liverpool,1611,713,898,Self Referral,1
2021-12-01,North West,Preston,1616,500,1116,School/College,4
2021-12-01,North West,Blackpool,772,234,538,Jobcentre Plus,1
2021-12-01,Yorkshire,Leeds,1310,521,789,School/College,4
2021-12-01,Yorkshire,Sheffield,823,280,543,Jobcentre Plus,4
2021-12-01,Yorkshire,Bradford,562,245,317,Jobcentre Plus,5
2021-12-01,Yorkshire,Hull,1175,462,713,School/College,4
2021-12-01,West Midlands,Birmingham,1557,513,1044,,4
2021-12-01,West Midlands,Coventry,378,145,233,Social Services,4
2021-12-01,West Midlands,Wolverhampton,449,156,293,Jobcentre Plus,2
2021-12-01,West Midlands,Stoke,816,290,526,Housing Services,5
2021-12-01,East Midlands,Nottingham,866,277,589,Self Referral,5
2021-12-01,East Midlands,Leicester,542,183,359,Jobcentre Plus,6
2021-12-01,East Midlands,Derby,918,400,518,Citizens Advice,3
2021-12-01,East Midlands,Lincoln,993,358,635,Jobcentre Plus,5
2021-12-01,East,Norwich,886,343,543,Social Services,6
2021-12-01,East,Peterborough,331,136,195,Jobcentre Plus,8
2021-12-01,East,Ipswich,488,204,284,Jobcentre Plus,8
2021-12-01,East,Cambridge,525,168,357,Jobcentre Plus,6
2021-12-01,London,Tower Hamlets,1198,532,666,,5
2021-12-01,London,Newham,565,228,337,Health Services,5
2021-12-01,London,Hackney,624,194,430,Jobcentre Plus,4
2021-12-01,London,Lambeth,949,382,567,Health Services,3
2021-12-01,South East,Brighton,573,237,336,Other Agency,6
2021-12-01,South East,Portsmouth,565,172,393,Self Referral,7
2021-12-01,South East,Reading,410,140,270,Social Services,7
2021-12-01,South East,Southampton,377,144,233,School/College,7
2021-12-01,South West,Bristol,618,191,427,,7
2021-12-01,South West,Plymouth,863,386,477,Housing Services,5
2021-12-01,South West,Exeter,370,113,257,School/College,5
2021-12-01,South West,Gloucester,938,324,614,School/College,7
2021-12-01,Wales,Cardiff,1198,377,821,Jobcentre Plus,5
2021-12-01,Wales,Swansea,1228,470,758,,3
2021-12-01,Wales,Newport,916,375,541,Social Services,2
2021-12-01,Wales,Wrexham,1257,416,841,School/College,4
2021-12-01,Scotland,Glasgow,1063,328,735,Housing Services,2
2021-12-01,Scotland,Edinburgh,471,199,272,School/College,3
2021-12-01,Scotland,Aberdeen,1272,389,883,School/College,4
2021-12-01,Scotland,Dundee,557,249,308,Jobcentre Plus,2
2022-01-01,North East,Newcastle,883,395,488,Self Referral,2
2022-01-01,North East,Sunderland,841,296,545,Social Services,2
2022-01-01,North East,Middlesbrough,1291,482,809,Social Services,1
2022-01-01,North East,Durham,1953,849,1104,Self Referral,1
2022-01-01,North West,Manchester,816,360,456,Jobcentre Plus,1
2022-01-01,North West,Liverpool,1495,551,944,,4
2022-01-01,North West,Preston,1275,554,721,Other Agency,3
2022-01-01,North West,Blackpool,522,159,363,Social Services,3
2022-01-01,Yorkshire,Leeds,570,227,343,Jobcentre Plus,5
2022-01-01,Yorkshire,Sheffield,1319,504,815,,4
2022-01-01,Yorkshire,Bradford,1101,436,665,Social Services,5
2022-01-01,Yorkshire,Hull,1194,483,711,Housing Services,2
2022-01-01,West Midlands,Birmingham,1430,475,955,Jobcentre Plus,3
2022-01-01,West Midlands,Coventry,450,155,295,Jobcentre Plus,5
2022-01-01,West Midlands,Wolverhampton,873,312,561,Self Referral,3
2022-01-01,West Midlands,Stoke,1290,405,885,Health Services,4
2022-01-01,East Midlands,Nottingham,503,172,331,School/College,5
2022-01-01,East Midlands,Leicester,729,323,406,Health Services,3
2022-01-01,East Midlands,Derby,667,223,444,Jobcentre Plus,6
2022-01-01,East Midlands,Lincoln,788,249,539,Self Referral,5
2022-01-01,East,Norwich,624,276,348,Social Services,8
2022-01-01,East,Peterborough,749,319,430,Social Services,5
2022-01-01,East,Ipswich,644,229,415,School/College,8
2022-01-01,East,Cambridge,280,117,163,School/College,7
2022-01-01,London,Tower Hamlets,378,135,243,,3
2022-01-01,London,Newham,1250,489,761,Jobcentre Plus,5
2022-01-01,London,Hackney,1208,419,789,Citizens Advice,3
2022-01-01,London,Lambeth,1064,438,626,Jobcentre Plus,4
2022-01-01,South East,Brighton,481,169,312,Self Referral,6
2022-01-01,South East,Portsmouth,347,154,193,Jobcentre Plus,7
2022-01-01,South East,Reading,754,324,430,Jobcentre Plus,6
2022-01-01,South East,Southampton,886,270,616,Social Services,8
2022-01-01,South West,Bristol,877,329,548,Housing Services,4
2022-01-01,South West,Plymouth,1146,424,722,Jobcentre Plus,4
2022-01-01,South West,Exeter,931,352,579,Jobcentre Plus,6
2022-01-01,South West,Gloucester,509,166,343,Social Services,4
2022-01-01,Wales,Cardiff,1446,475,971,Health Services,4
2022-01-01,Wales,Swansea,1503,668,835,School/College,4
2022-01-01,Wales,Newport,1232,376,856,Citizens Advice,2
2022-01-01,Wales,Wrexham,1270,383,887,Jobcentre Plus,4
2022-01-01,Scotland,Glasgow,811,337,474,Jobcentre Plus,2
2022-01-01,Scotland,Edinburgh,412,173,239,Social Services,5
2022-01-01,Scotland,Aberdeen,699,229,470,,3
2022-01-01,Scotland,Dundee,1155,457,698,School/College,4
2022-02-01,North East,Newcastle,527,230,297,School/College,3
2022-02-01,North East,Sunderland,717,244,473,Jobcentre Plus,3
2022-02-01,North East,Middlesbrough,562,235,327,Social Services,2
2022-02-01,North East,Durham,1617,567,1050,Housing Services,1
2022-02-01,North West,Manchester,514,189,325,Other Agency,3
2022-02-01,North West,Liverpool,443,158,285,Housing Services,2
2022-02-01,North West,Preston,1306,404,902,School/College,4
2022-02-01,North West,Blackpool,1641,621,1020,Self Referral,4
2022-02-01,Yorkshire,Leeds,1207,430,777,Social Services,4
2022-02-01,Yorkshire,Sheffield,946,392,554,Jobcentre Plus,3
2022-02-01,Yorkshire,Bradford,785,310,475,Jobcentre Plus,4
2022-02-01,Yorkshire,Hull,1052,458,594,Social Services,2
2022-02-01,West Midlands,Birmingham,712,237,475,Self Referral,3
2022-02-01,West Midlands,Coventry,787,245,542,Jobcentre Plus,5
2022-02-01,West Midlands,Wolverhampton,1306,473,833,Health Services,3
2022-02-01,West Midlands,Stoke,1379,453,926,Health Services,2
2022-02-01,East Midlands,Nottingham,857,364,493,Housing Services,5
2022-02-01,East Midlands,Leicester,1126,338,788,Housing Services,6
2022-02-01,East Midlands,Derby,553,177,376,School/College,3
2022-02-01,East Midlands,Lincoln,1153,360,793,Jobcentre Plus,5
2022-02-01,East,Norwich,801,298,503,Jobcentre Plus,6
2022-02-01,East,Peterborough,594,194,400,School/College,6
2022-02-01,East,Ipswich,631,209,422,Self Referral,8
2022-02-01,East,Cambridge,443,185,258,Jobcentre Plus,5
2022-02-01,London,Tower Hamlets,1025,375,650,Other Agency,5
2022-02-01,London,Newham,965,321,644,Jobcentre Plus,4
2022-02-01,London,Hackney,1037,389,648,Jobcentre Plus,3
2022-02-01,London,Lambeth,1107,489,618,Housing Services,3
2022-02-01,South East,Brighton,394,128,266,Social Services,6
2022-02-01,South East,Portsmouth,433,187,246,Jobcentre Plus,5
2022-02-01,South East,Reading,690,294,396,Health Services,5
2022-02-01,South East,Southampton,568,190,378,Jobcentre Plus,6
2022-02-01,South West,Bristol,309,133,176,Social Services,4
2022-02-01,South West,Plymouth,314,100,214,Health Services,5
2022-02-01,South West,Exeter,869,390,479,Jobcentre Plus,7
2022-02-01,South West,Gloucester,864,349,515,Jobcentre Plus,5
2022-02-01,Wales,Cardiff,420,148,272,,5
2022-02-01,Wales,Swansea,1429,635,794,Social Services,3
2022-02-01,Wales,Newport,1440,521,919,Jobcentre Plus,3
2022-02-01,Wales,Wrexham,1416,546,870,Social Services,5
2022-02-01,Scotland,Glasgow,421,132,289,School/College,3
2022-02-01,Scotland,Edinburgh,1330,580,750,School/College,3
2022-02-01,Scotland,Aberdeen,417,141,276,Health Services,3
2022-02-01,Scotland,Dundee,1377,527,850,Jobcentre Plus,2
2022-03-01,North East,Newcastle,1167,485,682,Housing Services,1
2022-03-01,North East,Sunderland,1115,388,727,Social Services,1
2022-03-01,North East,Middlesbrough,474,154,320,Social Services,4
2022-03-01,North East,Durham,613,206,407,Housing Services,1
2022-03-01,North West,Manchester,707,296,411,,4
2022-03-01,North West,Liverpool,883,395,488,School/College,2
2022-03-01,North West,Preston,674,280,394,Jobcentre Plus,3
2022-03-01,North West,Blackpool,614,234,380,Social Services,4
2022-03-01,Yorkshire,Leeds,313,117,196,Jobcentre Plus,4
2022-03-01,Yorkshire,Sheffield,485,206,279,Housing Services,3
2022-03-01,Yorkshire,Bradford,292,96,196,Jobcentre Plus,5
2022-03-01,Yorkshire,Hull,904,339,565,Jobcentre Plus,2
2022-03-01,West Midlands,Birmingham,861,317,544,Health Services,5
2022-03-01,West Midlands,Coventry,990,317,673,Social Services,4
2022-03-01,West Midlands,Wolverhampton,923,296,627,Jobcentre Plus,3
2022-03-01,West Midlands,Stoke,352,146,206,Jobcentre Plus,4
2022-03-01,East Midlands,Nottingham,758,313,445,Jobcentre Plus,4
2022-03-01,East Midlands,Leicester,277,114,163,Housing Services,6
2022-03-01,East Midlands,Derby,455,199,256,Social Services,5
2022-03-01,East Midlands,Lincoln,753,288,465,Jobcentre Plus,4
2022-03-01,East,Norwich,308,92,216,Jobcentre Plus,7
2022-03-01,East,Peterborough,226,69,157,Jobcentre Plus,7
2022-03-01,East,Ipswich,595,257,338,Health Services,7
2022-03-01,East,Cambridge,816,323,493,Jobcentre Plus,5
2022-03-01,London,Tower Hamlets,313,94,219,Jobcentre Plus,3
2022-03-01,London,Newham,367,130,237,,6
2022-03-01,London,Hackney,598,182,416,,6
2022-03-01,London,Lambeth,802,273,529,Jobcentre Plus,4
2022-03-01,South East,Brighton,544,212,332,Jobcentre Plus,8
2022-03-01,South East,Portsmouth,703,231,472,Jobcentre Plus,6
2022-03-01,South East,Reading,531,182,349,Jobcentre Plus,6
2022-03-01,South East,Southampton,189,65,124,Jobcentre Plus,8
2022-03-01,South West,Bristol,415,167,248,Jobcentre Plus,6
2022-03-01,South West,Plymouth,283,116,167,Social Services,4
2022-03-01,South West,Exeter,759,254,505,Housing Services,6
2022-03-01,South West,Gloucester,298,108,190,Jobcentre Plus,5
2022-03-01,Wales,Cardiff,352,130,222,Self Referral,2
2022-03-01,Wales,Swansea,881,336,545,Jobcentre Plus,4
2022-03-01,Wales,Newport,381,131,250,School/College,2
2022-03-01,Wales,Wrexham,898,296,602,Jobcentre Plus,2
2022-03-01,Scotland,Glasgow,755,270,485,Jobcentre Plus,4
2022-03-01,Scotland,Edinburgh,803,248,555,Social Services,5
2022-03-01,Scotland,Aberdeen,464,177,287,Other Agency,5
2022-03-01,Scotland,Dundee,826,345,481,Self Referral,4
2022-04-01,North East,Newcastle,601,215,386,Citizens Advice,4
2022-04-01,North East,Sunderland,554,194,360,Jobcentre Plus,4
2022-04-01,North East,Middlesbrough,393,147,246,Social Services,4
2022-04-01,North East,Durham,1153,452,701,Social Services,4
2022-04-01,North West,Manchester,1034,403,631,Social Services,4
2022-04-01,North West,Liverpool,521,185,336,Social Services,3
2022-04-01,North West,Preston,740,222,518,Jobcentre Plus,4
2022-04-01,North West,Blackpool,750,283,467,Social Services,2
2022-04-01,Yorkshire,Leeds,439,162,277,Jobcentre Plus,5
2022-04-01,Yorkshire,Sheffield,806,296,510,Social Services,5
2022-04-01,Yorkshire,Bradford,378,130,248,Jobcentre Plus,5
2022-04-01,Yorkshire,Hull,1126,464,662,Other Agency,4
2022-04-01,West Midlands,Birmingham,865,276,589,Health Services,2
2022-04-01,West Midlands,Coventry,704,233,471,Citizens Advice,3
2022-04-01,West Midlands,Wolverhampton,1141,505,636,Jobcentre Plus,2
2022-04-01,West Midlands,Stoke,1211,518,693,Jobcentre Plus,3
2022-04-01,East Midlands,Nottingham,844,309,535,Citizens Advice,4
2022-04-01,East Midlands,Leicester,814,282,532,Citizens Advice,5
2022-04-01,East Midlands,Derby,709,234,475,Self Referral,6
2022-04-01,East Midlands,Lincoln,370,133,237,Jobcentre Plus,4
2022-04-01,East,Norwich,480,184,296,Social Services,8
2022-04-01,East,Peterborough,570,233,337,Jobcentre Plus,7
2022-04-01,East,Ipswich,274,98,176,Citizens Advice,7
2022-04-01,East,Cambridge,295,130,165,Housing Services,6
2022-04-01,London,Tower Hamlets,514,210,304,Self Referral,4
2022-04-01,London,Newham,248,77,171,Jobcentre Plus,5
2022-04-01,London,Hackney,283,96,187,Housing Services,5
2022-04-01,London,Lambeth,796,351,445,Jobcentre Plus,3
2022-04-01,South East,Brighton,586,230,356,Health Services,5
2022-04-01,South East,Portsmouth,249,110,139,Health Services,7
2022-04-01,South East,Reading,499,162,337,Jobcentre Plus,8
2022-04-01,South East,Southampton,700,210,490,Social Services,7
2022-04-01,South West,Bristol,771,332,439,Jobcentre Plus,4
2022-04-01,South West,Plymouth,568,218,350,Jobcentre Plus,7
2022-04-01,South West,Exeter,455,169,286,Jobcentre Plus,5
2022-04-01,South West,Gloucester,539,208,331,Health Services,7
2022-04-01,Wales,Cardiff,1032,323,709,Social Services,5
2022-04-01,Wales,Swansea,848,291,557,Jobcentre Plus,2
2022-04-01,Wales,Newport,1063,370,693,Jobcentre Plus,4
2022-04-01,Wales,Wrexham,323,121,202,Self Referral,3
2022-04-01,Scotland,Glasgow,561,180,381,School/College,3
2022-04-01,Scotland,Edinburgh,398,158,240,School/College,2
2022-04-01,Scotland,Aberdeen,361,149,212,Jobcentre Plus,2
2022-04-01,Scotland,Dundee,278,86,192,Jobcentre Plus,5
2022-05-01,North East,Newcastle,529,231,298,School/College,4
2022-05-01,North East,Sunderland,554,227,327,Social Services,2
2022-05-01,North East,Middlesbrough,550,226,324,Jobcentre Plus,3
2022-05-01,North East,Durham,483,151,332,School/College,3
2022-05-01,North West,Manchester,427,152,275,Self Referral,4
2022-05-01,North West,Liverpool,851,261,590,School/College,2
2022-05-01,North West,Preston,949,351,598,,1
2022-05-01,North West,Blackpool,477,152,325,Social Services,4
2022-05-01,Yorkshire,Leeds,619,245,374,Social Services,5
2022-05-01,Yorkshire,Sheffield,1038,395,643,Jobcentre Plus,2
2022-05-01,Yorkshire,Bradford,445,152,293,Self Referral,4
2022-05-01,Yorkshire,Hull,441,146,295,Health Services,4
2022-05-01,West Midlands,Birmingham,459,144,315,School/College,3
2022-05-01,West Midlands,Coventry,458,196,262,Citizens Advice,4
2022-05-01,West Midlands,Wolverhampton,841,343,498,Social Services,5
2022-05-01,West Midlands,Stoke,834,306,528,Jobcentre Plus,2
2022-05-01,East Midlands,Nottingham,452,151,301,,4
2022-05-01,East Midlands,Leicester,346,112,234,Social Services,4
2022-05-01,East Midlands,Derby,393,149,244,Citizens Advice,5
2022-05-01,East Midlands,Lincoln,392,160,232,,4
2022-05-01,East,Norwich,711,222,489,Social Services,6
2022-05-01,East,Peterborough,538,179,359,Jobcentre Plus,7
2022-05-01,East,Ipswich,678,227,451,Social Services,7
2022-05-01,East,Cambridge,436,134,302,Jobcentre Plus,5
2022-05-01,London,Tower Hamlets,858,334,524,Jobcentre Plus,6
2022-05-01,London,Newham,498,193,305,Social Services,3
2022-05-01,London,Hackney,836,288,548,Jobcentre Plus,3
2022-05-01,London,Lambeth,313,116,197,Jobcentre Plus,5
2022-05-01,South East,Brighton,628,277,351,Social Services,7
2022-05-01,South East,Portsmouth,637,261,376,Social Services,7
2022-05-01,South East,Reading,363,115,248,Jobcentre Plus,6
2022-05-01,South East,Southampton,498,192,306,Jobcentre Plus,7
2022-05-01,South West,Bristol,699,289,410,Jobcentre Plus,4
2022-05-01,South West,Plymouth,424,172,252,Social Services,4
2022-05-01,South West,Exeter,518,193,325,Social Services,7
2022-05-01,South West,Gloucester,237,103,134,Jobcentre Plus,5
2022-05-01,Wales,Cardiff,906,397,509,,2
2022-05-01,Wales,Swansea,855,335,520,Jobcentre Plus,4
2022-05-01,Wales,Newport,322,123,199,Jobcentre Plus,5
2022-05-01,Wales,Wrexham,1164,453,711,Other Agency,2
2022-05-01,Scotland,Glasgow,287,107,180,Social Services,3
2022-05-01,Scotland,Edinburgh,814,309,505,School/College,5
2022-05-01,Scotland,Aberdeen,1027,359,668,Other Agency,2
2022-05-01,Scotland,Dundee,487,160,327,,5
2022-06-01,North East,Newcastle,617,232,385,Self Referral,1
2022-06-01,North East,Sunderland,980,315,665,School/College,1
2022-06-01,North East,Middlesbrough,434,192,242,Housing Services,3
2022-06-01,North East,Durham,1006,405,601,Health Services,2
2022-06-01,North West,Manchester,1129,497,632,Jobcentre Plus,2
2022-06-01,North West,Liverpool,649,275,374,Self Referral,4
2022-06-01,North West,Preston,818,299,519,Social Services,4
2022-06-01,North West,Blackpool,1075,344,731,Jobcentre Plus,3
2022-06-01,Yorkshire,Leeds,381,164,217,Jobcentre Plus,3
2022-06-01,Yorkshire,Sheffield,420,169,251,Jobcentre Plus,4
2022-06-01,Yorkshire,Bradford,500,151,349,Self Referral,2
2022-06-01,Yorkshire,Hull,896,332,564,Housing Services,4
2022-06-01,West Midlands,Birmingham,1035,396,639,Jobcentre Plus,4
2022-06-01,West Midlands,Coventry,825,289,536,School/College,3
2022-06-01,West Midlands,Wolverhampton,939,357,582,Health Services,4
2022-06-01,West Midlands,Stoke,1176,362,814,Other Agency,2
2022-06-01,East Midlands,Nottingham,718,289,429,Jobcentre Plus,5
2022-06-01,East Midlands,Leicester,330,145,185,Health Services,4
2022-06-01,East Midlands,Derby,362,118,244,Housing Services,6
2022-06-01,East Midlands,Lincoln,528,227,301,Social Services,5
2022-06-01,East,Norwich,656,273,383,Self Referral,7
2022-06-01,East,Peterborough,726,276,450,Jobcentre Plus,7
2022-06-01,East,Ipswich,228,75,153,Other Agency,8
2022-06-01,East,Cambridge,636,271,365,Jobcentre Plus,8
2022-06-01,London,Tower Hamlets,903,386,517,Jobcentre Plus,5
2022-06-01,London,Newham,632,217,415,Jobcentre Plus,5
2022-06-01,London,Hackney,856,344,512,,3
2022-06-01,London,Lambeth,816,326,490,Social Services,4
2022-06-01,South East,Brighton,644,233,411,Health Services,8
2022-06-01,South East,Portsmouth,579,177,402,Social Services,6
2022-06-01,South East,Reading,287,98,189,Jobcentre Plus,5
2022-06-01,South East,Southampton,700,247,453,School/College,7
2022-06-01,South West,Bristol,601,206,395,Self Referral,4
2022-06-01,South West,Plymouth,789,317,472,School/College,7
2022-06-01,South West,Exeter,542,188,354,Jobcentre Plus,6
2022-06-01,South West,Gloucester,779,269,510,Jobcentre Plus,7
2022-06-01,Wales,Cardiff,654,270,384,Jobcentre Plus,2
2022-06-01,Wales,Swansea,856,364,492,Jobcentre Plus,5
2022-06-01,Wales,Newport,1125,377,748,Social Services,3
2022-06-01,Wales,Wrexham,396,177,219,Social Services,2
2022-06-01,Scotland,Glasgow,344,115,229,Jobcentre Plus,4
2022-06-01,Scotland,Edinburgh,552,188,364,Jobcentre Plus,4
2022-06-01,Scotland,Aberdeen,576,252,324,Social Services,4
2022-06-01,Scotland,Dundee,968,367,601,Self Referral,4
2022-07-01,North East,Newcastle,1141,353,788,Jobcentre Plus,4
2022-07-01,North East,Sunderland,1094,385,709,Jobcentre Plus,1
2022-07-01,North East,Middlesbrough,811,255,556,School/College,4
2022-07-01,North East,Durham,1594,544,1050,Jobcentre Plus,2
2022-07-01,North West,Manchester,798,250,548,Social Services,4
2022-07-01,North West,Liverpool,512,226,286,Jobcentre Plus,2
2022-07-01,North West,Preston,1125,430,695,Social Services,3
2022-07-01,North West,Blackpool,567,174,393,Housing Services,4
2022-07-01,Yorkshire,Leeds,453,141,312,Jobcentre Plus,2
2022-07-01,Yorkshire,Sheffield,456,158,298,Social Services,3
2022-07-01,Yorkshire,Bradford,763,312,451,Health Services,3
2022-07-01,Yorkshire,Hull,850,313,537,Health Services,3
2022-07-01,West Midlands,Birmingham,855,377,478,Jobcentre Plus,5
2022-07-01,West Midlands,Coventry,866,282,584,Health Services,5
2022-07-01,West Midlands,Wolverhampton,882,373,509,Self Referral,3
2022-07-01,West Midlands,Stoke,752,314,438,Jobcentre Plus,2
2022-07-01,East Midlands,Nottingham,345,125,220,Social Services,3
2022-07-01,East Midlands,Leicester,646,233,413,,6
2022-07-01,East Midlands,Derby,554,240,314,Jobcentre Plus,4
2022-07-01,East Midlands,Lincoln,837,375,462,Jobcentre Plus,5
2022-07-01,East,Norwich,288,123,165,Jobcentre Plus,6
2022-07-01,East,Peterborough,265,118,147,School/College,6
2022-07-01,East,Ipswich,588,182,406,Jobcentre Plus,5
2022-07-01,East,Cambridge,625,254,371,Jobcentre Plus,5
2022-07-01,London,Tower Hamlets,644,257,387,Self Referral,4
2022-07-01,London,Newham,1241,425,816,Self Referral,4
2022-07-01,London,Hackney,490,206,284,,3
2022-07-01,London,Lambeth,427,160,267,Citizens Advice,4
2022-07-01,South East,Brighton,658,235,423,Other Agency,5
2022-07-01,South East,Portsmouth,793,345,448,Self Referral,7
2022-07-01,South East,Reading,606,198,408,Housing Services,5
2022-07-01,South East,Southampton,915,343,572,,8
2022-07-01,South West,Bristol,710,319,391,Jobcentre Plus,7
2022-07-01,South West,Plymouth,638,194,444,School/College,6
2022-07-01,South West,Exeter,863,375,488,Self Referral,7
2022-07-01,South West,Gloucester,958,383,575,Social Services,5
2022-07-01,Wales,Cardiff,1350,570,780,,4
2022-07-01,Wales,Swansea,545,207,338,Health Services,2
2022-07-01,Wales,Newport,1398,588,810,Housing Services,5
2022-07-01,Wales,Wrexham,912,307,605,School/College,3
2022-07-01,Scotland,Glasgow,413,145,268,School/College,2
2022-07-01,Scotland,Edinburgh,393,143,250,Jobcentre Plus,4
2022-07-01,Scotland,Aberdeen,1121,448,673,Housing Services,5
2022-07-01,Scotland,Dundee,1325,541,784,Jobcentre Plus,5
2022-08-01,North East,Newcastle,874,381,493,Social Services,3
2022-08-01,North East,Sunderland,517,189,328,Health Services,1
2022-08-01,North East,Middlesbrough,1022,424,598,Housing Services,3
2022-08-01,North East,Durham,457,163,294,Self Referral,2
2022-08-01,North West,Manchester,1216,519,697,Self Referral,2
2022-08-01,North West,Liverpool,823,259,564,Jobcentre Plus,1
2022-08-01,North West,Preston,1055,404,651,Jobcentre Plus,4
2022-08-01,North West,Blackpool,684,210,474,Jobcentre Plus,4
2022-08-01,Yorkshire,Leeds,546,227,319,Jobcentre Plus,4
2022-08-01,Yorkshire,Sheffield,720,320,400,Citizens Advice,2
2022-08-01,Yorkshire,Bradford,342,139,203,Social Services,4
2022-08-01,Yorkshire,Hull,401,166,235,Health Services,5
2022-08-01,West Midlands,Birmingham,1179,368,811,Jobcentre Plus,4
2022-08-01,West Midlands,Coventry,871,265,606,Housing Services,5
2022-08-01,West Midlands,Wolverhampton,651,249,402,Housing Services,4
2022-08-01,West Midlands,Stoke,656,224,432,Social Services,4
2022-08-01,East Midlands,Nottingham,595,250,345,Health Services,3
2022-08-01,East Midlands,Leicester,566,231,335,Self Referral,6
2022-08-01,East Midlands,Derby,888,297,591,Jobcentre Plus,5
2022-08-01,East Midlands,Lincoln,986,367,619,Social Services,3
2022-08-01,East,Norwich,890,280,610,Jobcentre Plus,8
2022-08-01,East,Peterborough,247,84,163,Health Services,5
2022-08-01,East,Ipswich,302,101,201,Jobcentre Plus,8
2022-08-01,East,Cambridge,854,377,477,Housing Services,8
2022-08-01,London,Tower Hamlets,367,127,240,Citizens Advice,4
2022-08-01,London,Newham,411,151,260,School/College,5
2022-08-01,London,Hackney,924,295,629,Social Services,3
2022-08-01,London,Lambeth,500,193,307,,3
2022-08-01,South East,Brighton,868,278,590,Health Services,6
2022-08-01,South East,Portsmouth,377,165,212,Self Referral,6
2022-08-01,South East,Reading,526,189,337,Jobcentre Plus,5
2022-08-01,South East,Southampton,557,215,342,Health Services,5
2022-08-01,South West,Bristol,644,242,402,Jobcentre Plus,5
2022-08-01,South West,Plymouth,515,206,309,Housing Services,4
2022-08-01,South West,Exeter,338,128,210,Jobcentre Plus,7
2022-08-01,South West,Gloucester,910,343,567,,4
2022-08-01,Wales,Cardiff,1028,461,567,School/College,3
2022-08-01,Wales,Swansea,701,243,458,Social Services,4
2022-08-01,Wales,Newport,583,177,406,School/College,2
2022-08-01,Wales,Wrexham,872,378,494,Jobcentre Plus,4
2022-08-01,Scotland,Glasgow,1042,421,621,School/College,3
2022-08-01,Scotland,Edinburgh,567,244,323,,3
2022-08-01,Scotland,Aberdeen,463,173,290,,4
2022-08-01,Scotland,Dundee,694,218,476,Other Agency,5
2022-09-01,North East,Newcastle,1243,552,691,School/College,4
2022-09-01,North East,Sunderland,1298,530,768,Social Services,2
2022-09-01,North East,Middlesbrough,1377,517,860,Jobcentre Plus,1
